aargang;geografi;geografi.1;kjoenn;aldersgrupper;sysselsatte;andeler;befolkning
2024;901;Veitvet;Begge kjønn;15-24 år;471;50.2;939
2024;901;Veitvet;Begge kjønn;25-39 år;1366;77.7;1758
2024;901;Veitvet;Begge kjønn;40-49 år;749;73.4;1021
2024;901;Veitvet;Begge kjønn;50-59 år;517;68.5;755
2024;901;Veitvet;Begge kjønn;60 -74 år;236;36.5;646
2024;902;Linderud;Begge kjønn;15-24 år;482;54.0;893
2024;902;Linderud;Begge kjønn;25-39 år;2269;84.5;2685
2024;902;Linderud;Begge kjønn;40-49 år;909;77.4;1175
2024;902;Linderud;Begge kjønn;50-59 år;633;70.6;896
2024;902;Linderud;Begge kjønn;60 -74 år;293;35.3;831
2024;904;Årvoll;Begge kjønn;15-24 år;460;48.9;940
2024;904;Årvoll;Begge kjønn;25-39 år;1986;88.0;2257
2024;904;Årvoll;Begge kjønn;40-49 år;1214;89.3;1360
2024;904;Årvoll;Begge kjønn;50-59 år;1003;85.0;1180
2024;904;Årvoll;Begge kjønn;60 -74 år;455;41.4;1099
2024;905;Refstad;Begge kjønn;15-24 år;407;49.2;828
2024;905;Refstad;Begge kjønn;25-39 år;1606;79.2;2028
2024;905;Refstad;Begge kjønn;40-49 år;842;76.8;1096
2024;905;Refstad;Begge kjønn;50-59 år;556;71.5;778
2024;905;Refstad;Begge kjønn;60 -74 år;235;34.9;674
2024;906;Ulven;Begge kjønn;15-24 år;428;54.0;793
2024;906;Ulven;Begge kjønn;25-39 år;1288;80.8;1594
2024;906;Ulven;Begge kjønn;40-49 år;767;84.4;909
2024;906;Ulven;Begge kjønn;50-59 år;561;78.4;716
2024;906;Ulven;Begge kjønn;60 -74 år;195;42.2;462
2024;100000;Oslo i alt;Begge kjønn;15-24 år;43738;52.4;83412
2024;100000;Oslo i alt;Begge kjønn;25-39 år;178386;82.9;215130
2024;100000;Oslo i alt;Begge kjønn;40-49 år;80002;80.2;99771
2024;100000;Oslo i alt;Begge kjønn;50-59 år;65149;76.8;84810
2024;100000;Oslo i alt;Begge kjønn;60 -74 år;36964;43.1;85731
2024;1001;Ammerud;Begge kjønn;15-24 år;444;46.0;965
2024;1001;Ammerud;Begge kjønn;25-39 år;1355;77.8;1742
2024;1001;Ammerud;Begge kjønn;40-49 år;973;76.8;1267
2024;1001;Ammerud;Begge kjønn;50-59 år;733;69.1;1061
2024;1001;Ammerud;Begge kjønn;60 -74 år;400;38.3;1044
2024;1002;Rødtvet;Begge kjønn;15-24 år;213;52.6;405
2024;1002;Rødtvet;Begge kjønn;25-39 år;730;81.2;899
2024;1002;Rødtvet;Begge kjønn;40-49 år;435;79.1;550
2024;1002;Rødtvet;Begge kjønn;50-59 år;357;73.2;488
2024;1002;Rødtvet;Begge kjønn;60 -74 år;193;39.5;489
2024;1003;Nordtvet;Begge kjønn;15-24 år;245;48.1;509
2024;1003;Nordtvet;Begge kjønn;25-39 år;1259;82.6;1525
2024;1003;Nordtvet;Begge kjønn;40-49 år;667;80.3;831
2024;1003;Nordtvet;Begge kjønn;50-59 år;529;74.8;707
2024;1003;Nordtvet;Begge kjønn;60 -74 år;234;34.3;683
2024;1004;Grorud;Begge kjønn;15-24 år;281;51.3;548
2024;1004;Grorud;Begge kjønn;25-39 år;667;69.8;956
2024;1004;Grorud;Begge kjønn;40-49 år;444;66.3;670
2024;1004;Grorud;Begge kjønn;50-59 år;465;70.3;661
2024;1004;Grorud;Begge kjønn;60 -74 år;222;37.2;596
2024;1005;Romsås;Begge kjønn;15-24 år;419;51.2;818
2024;1005;Romsås;Begge kjønn;25-39 år;1071;75.3;1423
2024;1005;Romsås;Begge kjønn;40-49 år;634;70.7;897
2024;1005;Romsås;Begge kjønn;50-59 år;628;62.8;1000
2024;1005;Romsås;Begge kjønn;60 -74 år;325;30.1;1079
2024;1101;Vestli;Begge kjønn;15-24 år;484;46.8;1035
2024;1101;Vestli;Begge kjønn;25-39 år;1018;68.4;1488
2024;1101;Vestli;Begge kjønn;40-49 år;559;60.5;924
2024;1101;Vestli;Begge kjønn;50-59 år;568;59.3;958
2024;1101;Vestli;Begge kjønn;60 -74 år;328;31.5;1040
2024;1102;Fossum;Begge kjønn;15-24 år;379;48.2;786
2024;1102;Fossum;Begge kjønn;25-39 år;701;61.8;1135
2024;1102;Fossum;Begge kjønn;40-49 år;430;58.3;737
2024;1102;Fossum;Begge kjønn;50-59 år;320;49.0;653
2024;1102;Fossum;Begge kjønn;60 -74 år;178;24.9;714
2024;1103;Rommen;Begge kjønn;15-24 år;232;51.3;452
